Date,Open Price,Close Price,Adj Close Price,Volume
20170830,958.32,973.43,971.75,10714071
20170902,976.78,985.85,980.47,5615820
20170903,984.84,1006.99,1001.29,10219938
20170904,1010.01,1051.30,1047.94,37049797
20170905,1060.70,1045.26,1057.01,4786205
20170906,1057.34,1050.63,1047.27,6862381
20170910,1040.56,1037.20,1037.87,6202837
20170911,1040.56,1057.01,1044.59,6686083
20170912,1053.98,1050.63,1056.00,5008683
20170913,1054.32,1069.76,1070.43,24102738
20170916,1077.48,1102.99,1107.36,43644726
20170917,1108.36,1097.29,1092.59,7907707
20170918,1095.61,1107.69,1101.65,7746942
20170919,1100.98,1130.52,1131.19,17911523
20170920,1137.90,1121.12,1114.40,11860962
20170923,1114.40,1113.06,1125.15,5423086
20170924,1108.03,1105.68,1105.68,7062433
20170925,1111.05,1104.67,1104.33,6936868
20170926,1114.40,1117.76,1116.75,7180866
20170927,1117.76,1117.76,1119.10,7466316
20171002,1107.36,1104.33,1098.63,4520742
20171003,1104.00,1089.90,1086.88,4988811
20171004,1082.52,1074.12,1084.53,3066067
20171007,1084.19,1062.38,1065.40,4548297
20171008,1055.66,1065.73,1048.95,11607951
20171009,1060.70,1045.59,1053.65,4352814
20171010,1060.70,1055.66,1058.68,3148105
20171011,1063.72,1060.70,1067.41,4098761
20171014,1074.12,1087.22,1083.86,4172307
20171015,1090.91,1090.91,1093.26,6152615
20171016,1097.29,1091.24,1091.24,9355715
20171017,1087.55,1099.64,1097.29,4281722
20171018,1100.98,1139.24,1129.51,15205350
20171021,1151.66,1161.40,1159.72,12191634
20171022,1168.11,1124.47,1137.90,5588754
20171023,1118.77,1111.05,1112.73,5188295
20171024,1115.41,1136.22,1133.87,8230988
20171025,1141.26,1134.54,1136.22,2564588
20171028,1141.26,1147.97,1148.98,9995904
20171029,1154.35,1206.38,1201.68,72687225
20171030,1218.46,1184.89,1195.64,15423023
20171031,1198.32,1200.00,1200.00,17980578
20171101,1204.70,1221.48,1218.46,13703842
20171104,1230.54,1183.55,1203.69,8597883
20171105,1191.61,1178.18,1180.87,7236579
20171106,1186.57,1174.82,1172.47,3604586
20171107,1198.66,1184.89,1193.29,12600486
20171108,1178.52,1173.48,1182.54,8874032
20171111,1194.96,1194.96,1191.94,11090007
20171112,1197.65,1208.39,1207.05,8391987
20171113,1210.74,1225.17,1223.83,14882549
20171114,1225.17,1237.59,1238.60,15397246
20171115,1234.91,1231.89,1228.53,21865415
20171118,1247.66,1268.81,1258.74,21628558
20171120,1272.50,1281.23,1272.50,38765630
20171121,1293.98,1335.94,1334.60,129823307
20171122,1351.05,1375.89,1366.49,27261438
20171125,1392.33,1411.80,1424.89,38482968
20171126,1418.18,1396.36,1401.06,15401684
20171128,1443.36,1406.43,1425.90,31524959
20171129,1410.12,1409.79,1407.77,17740686
20171202,1429.59,1406.43,1413.82,6207569
20171203,1409.79,1376.22,1375.55,17758574
20171204,1359.44,1382.60,1380.25,8534783
20171205,1376.22,1363.47,1371.86,7483324
20171209,1382.94,1376.89,1374.88,11059722
20171210,1385.96,1443.36,1435.63,56316520
20171211,1473.56,1477.59,1463.49,21788789
20171217,1540.70,1556.47,1550.77,50406067
20171218,1569.23,1582.66,1567.55,30398975
20171219,1570.91,1554.12,1566.88,20632949
20171220,1551.77,1574.26,1567.55,19724298
20171223,1591.05,1618.91,1601.12,30812139
20171224,1627.97,1664.89,1645.76,16846251
20171225,1666.57,1648.45,1667.24,20418670
20171226,1658.18,1644.42,1640.39,8553402
20171227,1654.82,1617.23,1623.61,8801011
20171230,1597.76,1584.33,1594.40,28661612
20171231,1584.33,1572.59,1555.13,43740756
20180101,1571.24,1567.55,1569.23,11511657
20180102,1591.05,1552.45,1567.55,14124751
20180103,1569.23,1547.41,1549.42,10856315
20180106,1552.78,1576.61,1576.61,7580234
20180107,1579.30,1550.77,1560.84,7665742
20180108,1550.77,1539.02,1556.47,15126798
20180109,1559.83,1540.70,1549.76,17862110
20180110,1562.85,1554.46,1560.84,7007670
20180113,1573.59,1577.62,1581.65,9738357
20180114,1580.98,1637.70,1624.28,12591042
20180115,1648.11,1661.54,1658.18,14741522
20180116,1664.89,1641.40,1649.12,11847300
20180117,1648.11,1644.75,1646.43,8331642
20180120,1646.43,1609.51,1631.33,8246487
20180121,1599.44,1586.68,1586.01,6930819
20180122,1592.73,1594.40,1596.08,5392656
20180123,1590.04,1594.40,1592.39,6643390
20180124,1604.47,1594.74,1604.81,6813334
20180127,1610.85,1591.38,1598.43,2723746
20180128,1592.73,1607.16,1605.48,4251932
20180129,1583.66,1584.33,1594.74,6231834
20180130,1583.33,1553.79,1566.54,10755362
20180131,1554.12,1557.48,1552.78,15048797
20180203,1557.48,1543.72,1538.01,6775641
20180204,1524.25,1540.70,1546.74,4528041
20180205,1547.41,1568.89,1557.15,3773463
20180206,1564.19,1544.05,1548.08,5272629
20180207,1548.42,1544.05,1559.16,2457616
20180210,1503.77,1485.31,1487.66,21174491
20180212,1504.11,1488.67,1478.26,5858725
20180213,1490.68,1547.41,1539.36,11989124
20180214,1560.50,1560.84,1557.82,3732112
20180217,1560.84,1564.19,1572.92,5764803
20180218,1577.29,1567.55,1571.58,6003013
20180219,1566.88,1576.95,1573.93,4967085
20180221,1567.55,1549.42,1554.80,5216798
20180224,1574.26,1560.17,1567.89,12210960
20180225,1574.26,1564.87,1572.59,5301698
20180226,1562.52,1542.38,1560.50,5042713
20180227,1560.50,1528.95,1538.68,7353830
20180228,1537.01,1500.42,1510.49,8066564
20180303,1510.49,1456.78,1467.52,16579797
20180304,1496.73,1453.43,1472.22,4973025
20180305,1472.89,1472.56,1457.45,4663119
20180306,1460.47,1466.85,1470.88,3311383
20180307,1473.23,1453.43,1468.19,4167324
20180310,1468.53,1423.22,1435.30,7731163
20180311,1446.71,1429.93,1435.30,4777644
20180312,1435.30,1443.02,1444.70,4934064
20180313,1446.71,1436.64,1440.33,3085811
20180314,1434.96,1433.29,1434.29,9552696
20180317,1433.96,1418.85,1424.89,7590126
20180318,1443.36,1429.93,1421.54,4061553
20180319,1443.36,1429.93,1436.98,2308743
20180325,1456.11,1440.00,1451.08,2105211
20180326,1453.43,1426.91,1437.65,2920816
20180327,1430.26,1420.19,1421.54,2509378
20180328,1436.64,1404.75,1411.47,4395699
20180403,1423.55,1395.69,1400.73,4699234
20180404,1399.05,1402.74,1396.03,6719623
20180407,1389.65,1393.01,1389.31,3749868
20180408,1376.89,1389.65,1384.95,9340031
20180409,1405.76,1416.50,1412.14,5706430
20180410,1473.23,1470.21,1469.87,19555759
20180411,1480.28,1429.93,1460.47,9070642
20180415,1429.93,1443.69,1460.81,3901364
20180416,1466.85,1443.36,1444.03,3491924
20180417,1453.43,1450.07,1455.10,4955060
20180418,1456.78,1458.46,1453.09,2810813
20180421,1460.81,1462.49,1465.84,3791976
20180422,1450.07,1443.69,1444.03,3040843
20180423,1443.36,1456.78,1463.83,4195742
20180424,1470.21,1501.09,1488.67,10107260
20180425,1501.43,1520.56,1512.17,10233035
20180428,1522.24,1486.99,1482.29,3332753
20180429,1468.53,1490.35,1486.32,3820546
20180430,1493.70,1480.28,1483.30,1765990
20180501,1490.35,1486.32,1489.34,2844325
20180505,1478.60,1460.47,1464.84,2607057
20180506,1463.49,1448.05,1451.41,4430571
20180507,1456.78,1455.44,1458.12,4973658
20180508,1474.24,1466.85,1476.92,9279313
20180509,1469.54,1443.36,1466.85,28595446
20180512,1466.85,1447.38,1457.79,8334732
20180513,1457.45,1444.36,1448.05,3779549
20180514,1453.43,1456.78,1457.79,6010604
20180515,1466.85,1450.07,1456.11,6518800
20180516,1466.18,1450.74,1454.77,10096203
20180519,1466.85,1479.61,1478.60,14622071
20180520,1476.92,1441.68,1450.40,13395192
